,neu,p
practice,0.026762,9.99E-009
swag,0.026831,8.35E-009
we come !,0.026865,9.07E-009
psalm,0.026951,6.77E-009
miami,0.027012,5.51E-009
here i come,0.027088,5.00E-009
san diego,0.027188,3.85E-009
niggas,0.027361,3.03E-009
game tomorrow,0.027429,2.47E-009
here we come,0.027721,1.66E-009
lord for,0.027757,1.57E-009
! !,0.027794,1.48E-009
success is,0.027897,9.07E-010
kobe,0.027902,9.75E-010
thang,0.027944,7.84E-010
the fam,0.028033,8.18E-010
the lord is,0.028098,6.27E-010
be blessed,0.028161,7.08E-010
ready,0.028544,3.96E-010
fullest,0.028555,2.19E-010
cali,0.02856,2.13E-010
of the lord,0.028577,2.32E-010
on my way,0.028734,1.63E-010
doin,0.028745,1.82E-010
we come,0.029277,5.65E-011
in christ,0.029318,4.59E-011
weekend,0.02935,6.84E-011
you lord,0.029443,4.57E-011
life is good,0.02946,4.51E-011
lets go,0.029516,2.99E-011
snowboarding,0.029582,2.40E-011
holla,0.029858,1.23E-011
church,0.030016,9.76E-012
wit my,0.030043,9.29E-012
great weekend,0.030058,1.68E-011
a blast,0.030794,2.20E-012
proverbs,0.031146,7.37E-013
a beautiful day,0.031317,1.52E-012
game tonight,0.031491,3.15E-013
finals,0.031529,4.37E-013
celtics,0.031812,1.47E-013
team,0.032171,7.35E-014
greatness,0.032496,2.75E-014
yall,0.032961,9.13E-015
bout to,0.033174,6.52E-015
god is good,0.033202,7.03E-015
the beach,0.033233,5.86E-015
!,0.033265,7.55E-015
volleyball,0.034205,4.92E-016
blessed,0.035512,6.26E-016
the lord,0.03597,5.80E-018
praise,0.03674,6.90E-019
chillin,0.03753,6.81E-020
beautiful day,0.037671,3.68E-019
fam,0.038682,3.34E-021
blessings,0.03918,7.69E-021
soccer,0.040099,3.41E-023
beach,0.04025,2.82E-023
workout,0.04039,1.32E-023
basketball,0.043449,1.03E-027
lakers,0.043677,5.57E-028
smh,0.045455,1.53E-030
success,0.04591,2.94E-031
